Initialization,Ops,E,gnorm,E0,Exact
20,2,-2.2761701916992627,3.150921695357122e-14,-2.1615133867520875,-2.8009588996544403
21,2,-2.276170191699263,4.977467992532553e-09,-1.8074979949128027,-2.8009588996544403
22,2,-2.276170191699263,4.2213975281483087e-10,-1.9918725177011387,-2.8009588996544403
23,2,-2.2761701916992627,4.995983977097226e-12,-1.852704281326662,-2.8009588996544403
24,2,-2.2761701916992627,6.686792032744926e-10,-2.1862432275380046,-2.8009588996544403
25,2,-2.2761701916992623,1.9118594330313898e-12,-1.7792401904301012,-2.8009588996544403
26,2,-2.276170191699263,4.859281306522122e-09,-2.0862203699153863,-2.8009588996544403
27,2,-2.2761701916992627,4.8826856486522015e-09,-2.0903921840227033,-2.8009588996544403
28,2,-2.2761701916992627,1.366848844370841e-10,-1.8874443540467634,-2.8009588996544403
29,2,-2.2761701916992627,6.340927581653369e-12,-1.885890783621117,-2.8009588996544403
30,2,-2.2761701916992627,4.473269914121697e-12,-2.206495738890938,-2.8009588996544403
31,2,-2.276170191699263,8.639180702801337e-12,-1.938978201047053,-2.8009588996544403
32,2,-2.2761701916992623,4.645766174918831e-12,-1.898078485632234,-2.8009588996544403
33,2,-2.2761701916992623,8.312538651974586e-14,-1.7562607735975138,-2.8009588996544403
34,2,-2.2761701916992623,1.1529226449755443e-14,-1.951588191671761,-2.8009588996544403
35,2,-2.2761701916992623,8.95090418262362e-16,-1.857830834019131,-2.8009588996544403
36,2,-2.2761701916992623,2.095029751980578e-12,-1.7256985801043272,-2.8009588996544403
37,2,-2.2761701916992627,2.852296199842046e-12,-1.7598902544956645,-2.8009588996544403
38,2,-2.2761701916992627,9.499021284394122e-09,-1.8893067269459958,-2.8009588996544403
39,2,-2.2761701916992627,1.1157603309187458e-15,-2.1686004485969126,-2.8009588996544403
40,2,-2.2761701916992636,8.102289742334616e-10,-2.031989680305208,-2.8009588996544403
41,2,-2.276170191699263,8.155875507330867e-10,-1.9019860673638482,-2.8009588996544403
42,2,-2.276170191699263,1.1109156728945237e-10,-1.890740725777201,-2.8009588996544403
43,2,-2.276170191699262,6.859637909383085e-13,-2.163064361258919,-2.8009588996544403
44,2,-2.276170191699264,3.389713302044164e-10,-1.9676252180447067,-2.8009588996544403
45,2,-2.276170191699263,2.6349529538858555e-09,-1.9148732395400838,-2.8009588996544403
46,2,-2.2761701916992627,1.1009828580523488e-09,-1.7541836482153392,-2.8009588996544403
47,2,-2.276170191699263,1.152067043636937e-14,-1.8540589910863994,-2.8009588996544403
48,2,-2.2761701916992627,1.691144961659188e-10,-2.128648291980393,-2.8009588996544403
49,2,-2.2761701916992627,2.220446049250313e-16,-1.7101316903507442,-2.8009588996544403
50,2,-2.2761701916992623,7.368007198490726e-11,-1.9327700854035559,-2.8009588996544403
51,2,-2.2761701916992627,8.225789164147555e-13,-1.9858254310260863,-2.8009588996544403
52,2,-2.2761701916992623,3.554447978966673e-15,-1.8326889081819613,-2.8009588996544403
53,2,-2.276170191699263,5.903700613937889e-12,-2.0666424515479114,-2.8009588996544403
54,2,-2.276170191699263,2.1454567368139237e-12,-2.0208316487732434,-2.8009588996544403
55,2,-2.2761701916992627,5.6967136604024565e-09,-1.8025420607710292,-2.8009588996544403
56,2,-2.2761701916992623,6.369024417179682e-12,-2.115921835321482,-2.8009588996544403
57,2,-2.276170191699263,9.423171209520717e-14,-2.207565614080522,-2.8009588996544403
58,2,-2.2761701916992627,4.2895936880484346e-11,-2.180920271051881,-2.8009588996544403
59,2,-2.2761701916992623,1.272815805147331e-12,-1.9790990898577112,-2.8009588996544403
60,2,-2.2761701916992636,9.549916839945555e-09,-1.9277143613722945,-2.8009588996544403
61,2,-2.2761701916992627,2.3812304674616355e-12,-1.9500608177401295,-2.8009588996544403
62,2,-2.2761701916992623,7.552781223416605e-15,-1.9089529218699464,-2.8009588996544403
63,2,-2.2761701916992623,4.170734368699527e-11,-1.954725550225394,-2.8009588996544403
64,2,-2.2761701916992636,5.406465127318069e-10,-2.002030367174225,-2.8009588996544403
65,2,-2.276170191699262,2.8604794428319753e-13,-2.089197287889208,-2.8009588996544403
66,2,-2.2761701916992627,7.641657414355265e-12,-1.8528631068138017,-2.8009588996544403
67,2,-2.2761701916992636,5.047882982956895e-10,-1.8300797695204114,-2.8009588996544403
68,2,-2.276170191699263,1.8880123660195982e-11,-1.9199371011242,-2.8009588996544403
69,2,-2.276170191699263,2.9803856524401006e-10,-2.1296590175825187,-2.8009588996544403
70,2,-2.2761701916992623,8.260978543585862e-13,-1.867205918972854,-2.8009588996544403
71,2,-2.2761701916992627,3.190258903119228e-12,-1.8683310515231801,-2.8009588996544403
72,2,-2.276170191699263,2.443659634481214e-09,-1.799247534746121,-2.8009588996544403
73,2,-2.2761701916992627,1.1102230246251565e-16,-1.7165773675688838,-2.8009588996544403
74,2,-2.2761701916992627,2.438230394131662e-12,-1.7924965381492983,-2.8009588996544403
75,2,-2.276170191699263,5.816795785010859e-13,-1.7231419954615967,-2.8009588996544403
76,2,-2.2761701916992623,1.3523837643700108e-10,-2.085474711556535,-2.8009588996544403
77,2,-2.2761701916992627,9.29800662588031e-09,-1.9036351745640157,-2.8009588996544403
78,2,-2.2761701916992627,1.757324345830808e-09,-2.0772994958315856,-2.8009588996544403
79,2,-2.2761701916992623,4.695001411952466e-11,-2.077164293615514,-2.8009588996544403
80,2,-2.2761701916992623,1.0567849060649352e-11,-1.891121166528843,-2.8009588996544403
81,2,-2.2761701916992623,5.923109071850734e-11,-1.8956168010899102,-2.8009588996544403
82,2,-2.2761701916992627,2.784056848935549e-10,-1.803577162692045,-2.8009588996544403
83,2,-2.276170191699263,4.953709267793972e-09,-1.7250138103845742,-2.8009588996544403
84,2,-2.276170191699263,1.270152712276246e-12,-1.8856030385754368,-2.8009588996544403
85,2,-2.2761701916992627,9.766661294333768e-09,-2.0400002815562006,-2.8009588996544403
86,2,-2.2761701916992623,9.250926353191642e-11,-1.7463570710889635,-2.8009588996544403
87,2,-2.2761701916992627,5.689731182510628e-11,-1.7019021744963179,-2.8009588996544403
88,2,-2.2761701916992627,2.9871179048380254e-10,-2.117192517450816,-2.8009588996544403
89,2,-2.2761701916992623,4.577566798522237e-16,-1.7461119013969528,-2.8009588996544403
90,2,-2.2761701916992623,7.090159709860034e-12,-2.104810651737168,-2.8009588996544403
91,2,-2.2761701916992636,2.2955223658026113e-09,-1.7744454711414095,-2.8009588996544403
92,2,-2.2761701916992623,4.886933750007917e-12,-2.1849667673420194,-2.8009588996544403
93,2,-2.2761701916992623,2.81914746485751e-13,-2.186984192086566,-2.8009588996544403
94,2,-2.276170191699263,2.8974633250312534e-11,-2.2210702611953677,-2.8009588996544403
95,2,-2.276170191699263,1.3393863126902216e-10,-2.15417920656824,-2.8009588996544403
96,2,-2.276170191699263,1.363408218836272e-10,-2.139675462251158,-2.8009588996544403
97,2,-2.2761701916992627,2.4730799219839793e-12,-2.085362908131865,-2.8009588996544403
98,2,-2.2761701916992627,2.031611758746169e-11,-1.7044209362689111,-2.8009588996544403
99,2,-2.2761701916992627,1.5996846004219388e-14,-1.9084785656526548,-2.8009588996544403
100,2,-2.2761701916992623,1.604865968698365e-12,-1.9691468336273106,-2.8009588996544403
101,2,-2.276170191699263,1.8822645461833401e-10,-2.207069144007831,-2.8009588996544403
102,2,-2.2761701916992623,6.031325671473756e-11,-2.080808609196159,-2.8009588996544403
103,2,-2.276170191699262,3.787117201581579e-13,-1.9354220440506138,-2.8009588996544403
104,2,-2.2761701916992623,2.1095406091322426e-14,-1.8619541150547847,-2.8009588996544403
105,2,-2.276170191699263,2.39202269592713e-11,-1.8601793006927312,-2.8009588996544403
106,2,-2.276170191699263,9.85938381141579e-13,-1.903318373493707,-2.8009588996544403
107,2,-2.276170191699263,3.3756630331633694e-09,-2.019441028675103,-2.8009588996544403
108,2,-2.276170191699263,2.4503092362623583e-11,-1.832950514941369,-2.8009588996544403
109,2,-2.2761701916992636,1.7197257806813086e-09,-1.8028679989542087,-2.8009588996544403
110,2,-2.2761701916992623,3.429530553802706e-09,-1.771082187149449,-2.8009588996544403
111,2,-2.2761701916992627,3.538555509474407e-11,-1.8909425766312913,-2.8009588996544403
112,2,-2.276170191699263,1.5363899995003574e-09,-2.097426666892434,-2.8009588996544403
113,2,-2.2761701916992636,1.1094628609469349e-08,-2.1691839740636993,-2.8009588996544403
114,2,-2.276170191699263,1.4311663844866416e-10,-2.0716668016822144,-2.8009588996544403
115,2,-2.276170191699263,1.1469462196761451e-10,-2.176511585393634,-2.8009588996544403
116,2,-2.2761701916992627,4.096963652554965e-14,-1.766061960237963,-2.8009588996544403
117,2,-2.276170191699263,1.498940203291059e-09,-1.8549994968155539,-2.8009588996544403
118,2,-2.2761701916992623,2.180052218999298e-12,-2.028637889312968,-2.8009588996544403
119,2,-2.276170191699263,5.047810464264517e-11,-1.821554146044866,-2.8009588996544403
120,2,-2.2761701916992627,5.321021000838601e-10,-1.7128204695985372,-2.8009588996544403
121,2,-2.2761701916992623,2.482534153247273e-16,-1.8525525419450255,-2.8009588996544403
122,2,-2.2761701916992627,1.3732700395566711e-15,-1.8977654348013588,-2.8009588996544403
123,2,-2.2761701916992627,1.7414121217869443e-12,-1.9396160352752725,-2.8009588996544403
124,2,-2.276170191699263,5.916190432472009e-10,-1.8211741553136183,-2.8009588996544403
125,2,-2.2761701916992627,3.7123069771497285e-09,-1.9342554186066006,-2.8009588996544403
126,2,-2.2761701916992627,9.257302764799013e-09,-2.0421218992671113,-2.8009588996544403
0,3,-2.412635004059652,1.0471235561959487e-09,-2.276170191699264,-2.8009588996544403
1,3,-2.412635004059652,8.95420989849489e-13,-2.4126350040596516,-2.8009588996544403
2,3,-2.4126350040596525,5.680553317062397e-11,-1.7501540795530626,-2.8009588996544403
3,3,-2.4126350040596516,2.6738633083295755e-14,-1.9417747569718238,-2.8009588996544403
4,3,-2.4126350040596525,3.6891758822302173e-10,-1.853713673147086,-2.8009588996544403
5,3,-2.4126350040596516,1.9900737651620038e-13,-1.7771337982837716,-2.8009588996544403
6,3,-2.4126350040596516,1.0041229229957883e-14,-2.2366395176938436,-2.8009588996544403
7,3,-2.412635004059652,8.08254562088053e-16,-1.894013147929572,-2.8009588996544403
8,3,-2.412635004059653,7.630425385965511e-11,-1.8748599500720713,-2.8009588996544403
9,3,-2.4126350040596525,6.165573927995179e-10,-1.9044791352869852,-2.8009588996544403
10,3,-2.412635004059651,6.116311069334734e-10,-1.9277766342107399,-2.8009588996544403
11,3,-2.4126350040596516,1.307635481913623e-10,-2.2495548525357547,-2.8009588996544403
12,3,-2.4126350040596525,6.19790890686552e-14,-1.7824847242542021,-2.8009588996544403
13,3,-2.412635004059652,4.084561808691066e-13,-2.195124897752773,-2.8009588996544403
14,3,-2.4126350040596516,1.3422147197812652e-08,-1.7696191877791838,-2.8009588996544403
15,3,-2.4126350040596516,2.6856364221663504e-11,-1.9648807344586203,-2.8009588996544403
16,3,-2.412635004059652,2.996564559885367e-09,-1.7531695510811605,-2.8009588996544403
17,3,-2.4126350040596516,1.0523356853182098e-11,-2.1807506328472517,-2.8009588996544403
18,3,-2.4126350040596525,3.972337658110526e-11,-1.8154004376365585,-2.8009588996544403
19,3,-2.4126350040596525,3.039134021084526e-10,-1.7001357322617703,-2.8009588996544403
20,3,-2.412635004059652,4.2423816881616735e-13,-2.024509824834287,-2.8009588996544403
21,3,-2.4126350040596525,2.0700116285239374e-10,-1.7441933885143794,-2.8009588996544403
22,3,-2.412635004059652,9.597464799723232e-12,-1.8490101435602917,-2.8009588996544403
23,3,-2.4126350040596525,2.9564100845073344e-10,-2.033570486470186,-2.8009588996544403
24,3,-2.412635004059651,1.0274507560945652e-12,-1.8426303608058014,-2.8009588996544403
25,3,-2.412635004059652,2.563421054916918e-11,-2.113019090929669,-2.8009588996544403
26,3,-2.412635004059652,1.1493098593908049e-10,-1.7166679547720052,-2.8009588996544403
27,3,-2.412635004059652,6.266613978916893e-10,-2.269306290940681,-2.8009588996544403
28,3,-2.412635004059652,4.3019933118547006e-13,-2.1143319953744624,-2.8009588996544403
29,3,-2.4126350040596516,8.601453551645516e-11,-1.783625741379884,-2.8009588996544403
30,3,-2.412635004059652,1.2362742043079113e-09,-1.8846906637562912,-2.8009588996544403
31,3,-2.412635004059652,9.352928889819689e-15,-2.2263053641667554,-2.8009588996544403
32,3,-2.412635004059652,6.061910517285198e-10,-1.8689164191515362,-2.8009588996544403
33,3,-2.412635004059652,2.818769562168351e-11,-1.9655244560808043,-2.8009588996544403
