Operators,Random E,Random E0,Recycled E,Recycled E0,Exact
1,-2.08286641124677,-2.0827390185185157,-2.082866411246769,-1.9706022460321675,-2.8009588996544585
2,-2.166071663725058,-1.8210095854937622,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.769893460578841,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-2.048217950579491,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.827945038559741,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-2.0037056070811228,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250563,-1.577983857240037,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250563,-2.128850021639039,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.578962962348649,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.6151810671070352,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725058,-1.6747887220856612,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725058,-2.1522089570749596,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.895873664960237,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.6347822286126872,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725057,-2.1507911952707004,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250568,-1.7578061793918929,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725057,-2.162742089745479,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.166071663725054,-1.8009793714191968,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250577,-1.8420425678540866,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
2,-2.1660716637250546,-2.0173438211247072,-2.1660716637250577,-2.08286641124677,-2.8009588996544585
